attribute,community,nodes
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,0,5
0,0,6
0,0,7
0,0,8
0,0,9
0,0,10
0,0,11
0,0,12
0,0,13
0,0,14
0,0,15
0,0,16
0,0,17
0,0,18
0,0,19
0,0,20
0,0,21
0,0,22
0,0,23
0,0,24
0,0,25
0,0,26
0,0,27
0,0,28
0,0,29
0,0,30
0,0,31
0,0,32
0,0,33
0,0,34
0,0,35
0,0,36
0,0,37
0,0,38
0,0,39
0,0,40
0,0,41
0,0,42
0,0,43
0,0,44
0,0,45
0,0,46
0,0,47
0,0,48
0,0,49
0,0,50
0,0,51
0,0,52
0,0,53
0,0,54
0,0,55
0,0,56
0,0,57
0,0,58
0,0,59
0,0,60
0,0,61
0,0,62
0,0,63
0,0,64
0,0,65
0,0,66
0,0,67
0,0,68
0,0,69
0,0,70
0,0,71
0,0,72
0,0,73
0,0,74
0,0,75
0,0,76
0,0,77
0,0,78
0,0,79
0,0,80
0,0,81
0,0,82
0,0,83
0,0,84
0,0,85
0,0,86
0,0,87
0,0,88
0,0,89
0,0,90
0,0,91
0,0,92
0,0,93
0,0,94
0,0,95
0,0,96
0,0,97
0,0,98
0,0,99
0,0,100
0,0,101
0,0,102
0,0,103
0,0,104
0,0,105
0,0,106
0,0,107
0,0,108
0,0,109
0,0,110
0,0,111
0,0,112
0,0,113
0,0,114
0,0,115
0,0,116
0,0,117
0,0,118
0,0,119
0,0,120
0,0,121
0,0,122
0,0,123
0,0,124
0,0,125
0,0,126
0,0,127
0,0,128
0,0,129
0,0,130
0,0,131
0,0,132
0,0,133
0,0,134
0,0,135
0,0,136
0,0,137
0,0,138
0,0,139
0,0,140
0,0,141
0,0,142
0,0,143
0,0,144
0,0,145
0,0,146
0,0,147
0,0,148
0,0,149
0,0,150
0,0,151
0,0,152
0,0,153
0,0,154
0,0,155
0,0,156
0,0,157
0,0,158
0,0,159
1,0,160
1,0,161
1,0,162
1,0,163
1,0,164
1,0,165
1,0,166
1,0,167
1,0,168
1,0,169
1,0,170
1,0,171
1,0,172
1,0,173
1,0,174
1,0,175
1,0,176
1,0,177
1,0,178
1,0,179
1,0,180
1,0,181
1,0,182
1,0,183
1,0,184
1,0,185
1,0,186
1,0,187
1,0,188
1,0,189
1,0,190
1,0,191
1,0,192
1,0,193
1,0,194
1,0,195
1,0,196
1,0,197
1,0,198
1,0,199
0,1,200
0,1,201
0,1,202
0,1,203
0,1,204
0,1,205
0,1,206
0,1,207
0,1,208
0,1,209
0,1,210
0,1,211
0,1,212
0,1,213
0,1,214
0,1,215
0,1,216
0,1,217
0,1,218
0,1,219
0,1,220
0,1,221
0,1,222
0,1,223
0,1,224
0,1,225
0,1,226
0,1,227
0,1,228
0,1,229
0,1,230
0,1,231
0,1,232
0,1,233
0,1,234
0,1,235
0,1,236
0,1,237
0,1,238
0,1,239
0,1,240
0,1,241
0,1,242
0,1,243
0,1,244
0,1,245
0,1,246
0,1,247
0,1,248
0,1,249
0,1,250
0,1,251
0,1,252
0,1,253
0,1,254
0,1,255
0,1,256
0,1,257
0,1,258
0,1,259
0,1,260
0,1,261
0,1,262
0,1,263
0,1,264
0,1,265
0,1,266
0,1,267
0,1,268
0,1,269
0,1,270
0,1,271
0,1,272
0,1,273
0,1,274
0,1,275
0,1,276
0,1,277
0,1,278
0,1,279
0,1,280
0,1,281
0,1,282
0,1,283
0,1,284
0,1,285
0,1,286
0,1,287
0,1,288
0,1,289
0,1,290
0,1,291
0,1,292
0,1,293
0,1,294
0,1,295
0,1,296
0,1,297
0,1,298
0,1,299
0,1,300
0,1,301
0,1,302
0,1,303
0,1,304
0,1,305
0,1,306
0,1,307
0,1,308
0,1,309
0,1,310
0,1,311
0,1,312
0,1,313
0,1,314
0,1,315
0,1,316
0,1,317
0,1,318
0,1,319
0,1,320
0,1,321
0,1,322
0,1,323
0,1,324
0,1,325
0,1,326
0,1,327
0,1,328
0,1,329
0,1,330
0,1,331
0,1,332
0,1,333
0,1,334
0,1,335
0,1,336
0,1,337
0,1,338
0,1,339
0,1,340
0,1,341
0,1,342
0,1,343
0,1,344
0,1,345
0,1,346
0,1,347
0,1,348
0,1,349
0,1,350
0,1,351
0,1,352
0,1,353
0,1,354
0,1,355
0,1,356
0,1,357
0,1,358
0,1,359
1,1,360
1,1,361
1,1,362
1,1,363
1,1,364
1,1,365
1,1,366
1,1,367
1,1,368
1,1,369
1,1,370
1,1,371
1,1,372
1,1,373
1,1,374
1,1,375
1,1,376
1,1,377
1,1,378
1,1,379
1,1,380
1,1,381
1,1,382
1,1,383
1,1,384
1,1,385
1,1,386
1,1,387
1,1,388
1,1,389
1,1,390
1,1,391
1,1,392
1,1,393
1,1,394
1,1,395
1,1,396
1,1,397
1,1,398
1,1,399
0,2,400
0,2,401
0,2,402
0,2,403
0,2,404
0,2,405
0,2,406
0,2,407
0,2,408
0,2,409
0,2,410
0,2,411
0,2,412
0,2,413
0,2,414
0,2,415
0,2,416
0,2,417
0,2,418
0,2,419
0,2,420
0,2,421
0,2,422
0,2,423
0,2,424
0,2,425
0,2,426
0,2,427
0,2,428
0,2,429
0,2,430
0,2,431
0,2,432
0,2,433
0,2,434
0,2,435
0,2,436
0,2,437
0,2,438
0,2,439
0,2,440
0,2,441
0,2,442
0,2,443
0,2,444
0,2,445
0,2,446
0,2,447
0,2,448
0,2,449
0,2,450
0,2,451
0,2,452
0,2,453
0,2,454
0,2,455
0,2,456
0,2,457
0,2,458
0,2,459
0,2,460
0,2,461
0,2,462
0,2,463
0,2,464
0,2,465
0,2,466
0,2,467
0,2,468
0,2,469
0,2,470
0,2,471
0,2,472
0,2,473
0,2,474
0,2,475
0,2,476
0,2,477
0,2,478
0,2,479
0,2,480
0,2,481
0,2,482
0,2,483
0,2,484
0,2,485
0,2,486
0,2,487
0,2,488
0,2,489
0,2,490
0,2,491
0,2,492
0,2,493
0,2,494
0,2,495
0,2,496
0,2,497
0,2,498
0,2,499
0,2,500
0,2,501
0,2,502
0,2,503
0,2,504
0,2,505
0,2,506
0,2,507
0,2,508
0,2,509
0,2,510
0,2,511
0,2,512
0,2,513
0,2,514
0,2,515
0,2,516
0,2,517
0,2,518
0,2,519
0,2,520
0,2,521
0,2,522
0,2,523
0,2,524
0,2,525
0,2,526
0,2,527
0,2,528
0,2,529
0,2,530
0,2,531
0,2,532
0,2,533
0,2,534
0,2,535
0,2,536
0,2,537
0,2,538
0,2,539
0,2,540
0,2,541
0,2,542
0,2,543
0,2,544
0,2,545
0,2,546
0,2,547
0,2,548
0,2,549
0,2,550
0,2,551
0,2,552
0,2,553
0,2,554
0,2,555
0,2,556
0,2,557
0,2,558
0,2,559
1,2,560
1,2,561
1,2,562
1,2,563
1,2,564
1,2,565
1,2,566
1,2,567
1,2,568
1,2,569
1,2,570
1,2,571
1,2,572
1,2,573
1,2,574
1,2,575
1,2,576
1,2,577
1,2,578
1,2,579
1,2,580
1,2,581
1,2,582
1,2,583
1,2,584
1,2,585
1,2,586
1,2,587
1,2,588
1,2,589
1,2,590
1,2,591
1,2,592
1,2,593
1,2,594
1,2,595
1,2,596
1,2,597
1,2,598
1,2,599
0,3,600
0,3,601
0,3,602
0,3,603
0,3,604
0,3,605
0,3,606
0,3,607
0,3,608
0,3,609
0,3,610
0,3,611
0,3,612
0,3,613
0,3,614
0,3,615
0,3,616
0,3,617
0,3,618
0,3,619
0,3,620
0,3,621
0,3,622
0,3,623
0,3,624
0,3,625
0,3,626
0,3,627
0,3,628
0,3,629
0,3,630
0,3,631
0,3,632
0,3,633
0,3,634
0,3,635
0,3,636
0,3,637
0,3,638
0,3,639
0,3,640
0,3,641
0,3,642
0,3,643
0,3,644
0,3,645
0,3,646
0,3,647
0,3,648
0,3,649
0,3,650
0,3,651
0,3,652
0,3,653
0,3,654
0,3,655
0,3,656
0,3,657
0,3,658
0,3,659
0,3,660
0,3,661
0,3,662
0,3,663
0,3,664
0,3,665
0,3,666
0,3,667
0,3,668
0,3,669
0,3,670
0,3,671
0,3,672
0,3,673
0,3,674
0,3,675
0,3,676
0,3,677
0,3,678
0,3,679
0,3,680
0,3,681
0,3,682
0,3,683
0,3,684
0,3,685
0,3,686
0,3,687
0,3,688
0,3,689
0,3,690
0,3,691
0,3,692
0,3,693
0,3,694
0,3,695
0,3,696
0,3,697
0,3,698
0,3,699
0,3,700
0,3,701
0,3,702
0,3,703
0,3,704
0,3,705
0,3,706
0,3,707
0,3,708
0,3,709
0,3,710
0,3,711
0,3,712
0,3,713
0,3,714
0,3,715
0,3,716
0,3,717
0,3,718
0,3,719
0,3,720
0,3,721
0,3,722
0,3,723
0,3,724
0,3,725
0,3,726
0,3,727
0,3,728
0,3,729
0,3,730
0,3,731
0,3,732
0,3,733
0,3,734
0,3,735
0,3,736
0,3,737
0,3,738
0,3,739
0,3,740
0,3,741
0,3,742
0,3,743
0,3,744
0,3,745
0,3,746
0,3,747
0,3,748
0,3,749
0,3,750
0,3,751
0,3,752
0,3,753
0,3,754
0,3,755
0,3,756
0,3,757
0,3,758
0,3,759
1,3,760
1,3,761
1,3,762
1,3,763
1,3,764
1,3,765
1,3,766
1,3,767
1,3,768
1,3,769
1,3,770
1,3,771
1,3,772
1,3,773
1,3,774
1,3,775
1,3,776
1,3,777
1,3,778
1,3,779
1,3,780
1,3,781
1,3,782
1,3,783
1,3,784
1,3,785
1,3,786
1,3,787
1,3,788
1,3,789
1,3,790
1,3,791
1,3,792
1,3,793
1,3,794
1,3,795
1,3,796
1,3,797
1,3,798
1,3,799
0,4,800
0,4,801
0,4,802
0,4,803
0,4,804
0,4,805
0,4,806
0,4,807
0,4,808
0,4,809
0,4,810
0,4,811
0,4,812
0,4,813
0,4,814
0,4,815
0,4,816
0,4,817
0,4,818
0,4,819
0,4,820
0,4,821
0,4,822
0,4,823
0,4,824
0,4,825
0,4,826
0,4,827
0,4,828
0,4,829
0,4,830
0,4,831
0,4,832
0,4,833
0,4,834
0,4,835
0,4,836
0,4,837
0,4,838
0,4,839
0,4,840
0,4,841
0,4,842
0,4,843
0,4,844
0,4,845
0,4,846
0,4,847
0,4,848
0,4,849
0,4,850
0,4,851
0,4,852
0,4,853
0,4,854
0,4,855
0,4,856
0,4,857
0,4,858
0,4,859
0,4,860
0,4,861
0,4,862
0,4,863
0,4,864
0,4,865
